"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","0.1W","ARROW PART NUMBER","ARROW PRICE/STOCK","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET LINK","DIMS","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NETNAME","PARAMETER 1","RS PART NUMBER","RS PRICE/STOCK","SYSTEM","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"HFBR-x52x-rx_tx","HFBR-x52x-rx_tx","HFBR-x52x-rx_tx_BL","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"Header","","","","","","","","","*","","","","","","","","","","","444","","","","","","*","H?",""
"Header_1x10pin","Header_1x10_PLD_ang","","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","PLS-10(R) (DS-1022-1x10)"
"Header_1x12pin","Header_1x12_PBS","Header_1x12_PLD","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","PLS-12(R) (DS-1022-1x12)"
"Header_1x16pin","Header_1x16_PLS_ang","Header_1x16_PLS_ang R2","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","PLS-16(R) (DS-1022-1x16)"
"Header_1x2pin","Header_1x2_PLD","","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","PLD-2"
"Header_1x4pin","Header_1x4_WF-4R","Header_1x4_PLD","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","WF-4R (DS1070-4 MR), PLD-4"
"Header_1x6pin","Header_1x6_PLD","","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","PLD-6"
"Header_2x10_STLink","Header_2x10_PLD","Header_2x10_PLD_ang","","","","","","","ST-Link_v2","","","","","","","","","","","","","","Connector","","","*","H?","BH-20, IDC-20, DS-1013-20S"
"Header_2x10pin","Header_2x10_PLD","Header_2x10_PLD_ang","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","BH-20, IDC-20, DS-1013-20S"
"Header_2x10pin_slot","Header_2x10_PLD_slot","","","","","","","","*","","","https://static.chipdip.ru/lib/413/DOC001413777.pdf","","7mm","Connfly","DS1069-8","","","","","","","Connector","","","*","J?","Connector"
"Header_2x2pin","Header_2x2_PLD","","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","PLD-4"
"Header_2x3pin","Header_2x3_BH","Header_2x3_BH_ang","Header_2x3_PLD","Header_2x3_PLD_ang","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","BH-6, IDC-6, DS-1013-06S"
"Header_2x5pin","Header_2x5_BH","Header_2x5_PLD","Header_2x5_PLD_ang","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","BH-10, IDC-10, DS-1013-10S"
"Header_2x7pin","Header_2x7","Header_2x7_PLD","","","","","","","*","","","","","","","","","","","","","","Connector","","","*","H?","BH-14, IDC-14, DS-1013-14S"
"IMBF170R450M1XTMA1","IMBF170R450M1XTMA1","","","","","","IMBF170R450M1XTMA1","https://www.arrow.com/en/products/imbf170r450m1xtma1/infineon-technologies-ag","*","","","https://www.infineon.com/dgdl/Infineon-IMBF170R450M1-DataSheet-v02_01-EN.pdf?fileId=5546d462712ef9b70171820c850e1ad9","","4.7mm","Infineon","IMBF170R450M1XTMA1","726-IMBF170R450M1XTM","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IMBF170R450M1XTMA1?qs=GedFDFLaBXFtPqcGQB0Feg%3D%3D","","","","","","","","*","Q?","MOSFET (N-Channel)"
"IPW60R017C7","TO-247_mid_line","TO-247_mar_line","TO-247_back_mid_line","","","","","","*","","","","","5.21mm","Infineon","IPW60R017C7","N/A","https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA","","","","","","","","*","Q?","MOSFET (N-Channel)"
"IRM-05-12","IRM-05-3.3_1","","","","","","IRM-05-12","https://www.arrow.com/en/products/irm-05-12/mean-well-enterprises","*","","","https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/IRM-05-spec.pdf","","","Mean Well","IRM-05-12","709-IRM05-12","https://www.mouser.co.uk/ProductDetail/MEAN-WELL/IRM-05-12/?qs=WkdRfq4wf1P6e%2FlUvY44jA%3D%3D","","","","","","","","*","PS?","Power Supply"
"KAA-3528ESGC","KAA3528ESGC","","","","","","KAA-3528ESGC","https://www.arrow.com/en/products/kaa-3528esgc/kingbright","*","","","http://www.farnell.com/datasheets/68663.pdf","","2.1mm","Kingbright","KAA-3528ESGC","N/A","https://www.mouser.co.uk/ProductDetail/Kingbright/KAA-3528ESGC?qs=f6khj2Jg0FhBdxfzU38%2F0Q%3D%3D","","","","","","","","*","LED?","Double LED SMD"
"KCPSC04-105","KCPSC04105","KCPSC04105 - internal","KCPSC04105 - int_Extr_via","","","","","","*","","","http://www.kingbright.com/attachments/file/psearch/000/00/00/KCPSC04-105(Ver.8A).pdf","","3.75mm","Kingbright","KCPSC04-105","N/A","https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA","","","","","","","","*","DS?","Display"
"KLS1-603C-20","KLS1-603C-20","","","","","","","","*","","","","","","","","","","","","","","","","","*","HS?","20 pin slot"
"KLS1-603C-26","KLS1-603C-26","KLS1-603C-26-TOP","","","","","","","*","","","","","","","","","","","","","","","","","*","HS?","26 pin slot"
